"The Wandering Wok","Global street food","This vibrant eatery takes you on a culinary adventure around the world with dishes like Vietnamese pho, Korean bibimbap, and Mexican tacos.","A delightful explosion of flavors! The Wandering Wok offers a unique and delicious experience with every bite.","Sarah K",4,"wandering-wok.png"
"Forklore","Modern American comfort food","This cozy restaurant puts a playful spin on classic American dishes, using fresh, seasonal ingredients. Think mac and cheese with truffle oil or chicken pot pie in a flaky puff pastry crust.","Forklore is a hidden gem! The food is creative and delicious, and the atmosphere is warm and inviting.","Emily M",5,"folklore.png"
"The Grumbling Gnome","Gastropub","This lively pub offers a unique combination of British pub classics like fish and chips and bangers and mash, alongside a selection of craft beers and whiskeys.","The Grumbling Gnome is a great place to hang out with friends and enjoy a good meal and some drinks. The staff is friendly and the atmosphere is fun.","Matthew O",4.5,"grumbling-gnome.png"
"Moonbeam Ramen","Japanese ramen","This cozy noodle bar specializes in authentic Japanese ramen, with various broth options, fresh toppings, and perfectly cooked noodles.","Moonbeam Ramen is my favorite spot for a quick and satisfying meal. The broth is rich and flavorful, and the noodles are cooked to perfection","Andrew N",5,"moonbeam-ramen.png"
"Nosh & Nostalgia","American diner","This classic diner takes you back in time with its retro décor, friendly service, and all-American favorites like burgers, milkshakes, and meatloaf","Nosh & Nostalgia is a great place to take your family for a fun and nostalgic dining experience. The portions are generous, the prices are reasonable, and the food is good","Thomas D",4,"nosh-and-nostalgia.png"
"The Wandering Wok's Vegan Voyage","Vegan global street food","This sister restaurant to The Wandering Wok offers a plant-based take on global street food, with delicious vegan versions of dishes like pad thai, samosas, and falafel.","A great option for vegans and vegetarians who are looking for flavorful and creative plant-based dishes. The portions are generous and the prices are reasonable.","Benjamin T",4,"vegan-voyage.png"
"The Quirky Carrot","Vegetarian & Vegan","Inventive plant-based dishes that are as delicious as they are creative.","The perfect spot for a guilt-free indulgence. The 'Beet Wellington' was a revelation, and the desserts are heavenly","Emily S",4.5,"quirky-carrot.png"
"The Midnight Owl","Late-Night Eats","Comfort food classics served up with a twist, perfect for satisfying late-night cravings.","The ultimate cure for any late-night munchies. The mac and cheese with pulled pork is a must-try, and the milkshakes are thick and creamy.","Michael B",4,"midnight-owl.png"
"The Singing Siren Seafood Shack","Seafood","Fresh-caught seafood dishes with a nautical theme, served in a lively atmosphere.","The freshest seafood I've had in years! The lobster roll was packed with succulent lobster meat, and the clam chowder was creamy and delicious.","Peter C",5,"singing-siren.png"
"The Whistling Kettle Tea Room","Tea & Scones","A charming tea room offering a wide variety of loose-leaf teas and freshly baked scones","A good spot for a relaxing afternoon tea. The scones are warm and buttery, but the selection of teas could be improved.","Jane A",3.5,"whistling-kettle.png"
"The Novel Grounds","Coffee Shop & Used Bookstore","A haven for coffee lovers and bookworms, offering a variety of coffees, teas, and a curated selection of used books","My go-to spot for a morning pick-me-up. The coffee is always fresh and delicious, and the selection of used books is fantastic.","Tom H",4,"novel-grounds.png"
